run_id,cluster_id,step_id,step_name,step_kind,technology,input_label,repetition,step_state,submitted_at_utc,started_at_utc,ended_at_utc,wall_clock_seconds,failure_reason,metrics_s3_uri
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-043986812VP11XJJO70,Install Python benchmark dependencies,dependency,,,,COMPLETED,2026-05-22T20:02:52.744000+00:00,2026-05-22T20:03:09.795000+00:00,2026-05-22T20:03:17.980000+00:00,8.185,,
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-077552511K1F5O8V584V,spark_sql 500k rep1,benchmark,spark_sql,500k,1,COMPLETED,2026-05-22T20:03:35.831000+00:00,2026-05-22T20:03:42.996000+00:00,2026-05-22T20:04:37.113000+00:00,54.117,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/500k/spark_sql/rep1/spark_sql/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-10400933C56FIPUT3MPF,spark_sql 500k rep2,benchmark,spark_sql,500k,2,COMPLETED,2026-05-22T20:05:01.565000+00:00,2026-05-22T20:05:12.142000+00:00,2026-05-22T20:06:00.220000+00:00,48.078,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/500k/spark_sql/rep2/spark_sql/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-00947292TOJ7QTYVAVGS,spark_core 500k rep1,benchmark,spark_core,500k,1,COMPLETED,2026-05-22T20:06:26.695000+00:00,2026-05-22T20:06:35.238000+00:00,2026-05-22T20:07:37.306000+00:00,62.068,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/500k/spark_core/rep1/spark_core/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-0723349JVIJ18PKHWZK,spark_core 500k rep2,benchmark,spark_core,500k,2,COMPLETED,2026-05-22T20:07:52.044000+00:00,2026-05-22T20:08:02.320000+00:00,2026-05-22T20:09:02.392000+00:00,60.072,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/500k/spark_core/rep2/spark_core/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-05127861OAFNJTFPR1LO,spark_sql 3m rep1,benchmark,spark_sql,3m,1,COMPLETED,2026-05-22T20:09:17.491000+00:00,2026-05-22T20:09:27.407000+00:00,2026-05-22T20:10:15.522000+00:00,48.115,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/3m/spark_sql/rep1/spark_sql/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-01723863995H3HBL8U9D,spark_sql 3m rep2,benchmark,spark_sql,3m,2,COMPLETED,2026-05-22T20:10:42.049000+00:00,2026-05-22T20:10:50.538000+00:00,2026-05-22T20:11:36.624000+00:00,46.086,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/3m/spark_sql/rep2/spark_sql/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-02412423KMJNO6W2ITFG,spark_core 3m rep1,benchmark,spark_core,3m,1,COMPLETED,2026-05-22T20:11:45.599000+00:00,2026-05-22T20:11:51.635000+00:00,2026-05-22T20:14:03.693000+00:00,132.058,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/3m/spark_core/rep1/spark_core/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-03256163MOKE0FZK7L6V,spark_core 3m rep2,benchmark,spark_core,3m,2,COMPLETED,2026-05-22T20:14:34.803000+00:00,2026-05-22T20:14:38.707000+00:00,2026-05-22T20:17:10.784000+00:00,152.077,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/3m/spark_core/rep2/spark_core/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-096708121A6T066WY4GX,spark_sql 14m rep1,benchmark,spark_sql,14m,1,COMPLETED,2026-05-22T20:17:23.550000+00:00,2026-05-22T20:17:30.793000+00:00,2026-05-22T20:18:20.856000+00:00,50.063,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/14m/spark_sql/rep1/spark_sql/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-07751541SALYXHMTFCSA,spark_sql 14m rep2,benchmark,spark_sql,14m,2,COMPLETED,2026-05-22T20:18:49.154000+00:00,2026-05-22T20:18:55.869000+00:00,2026-05-22T20:19:47.928000+00:00,52.059,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/14m/spark_sql/rep2/spark_sql/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-09365872YEDBIDDWRSQ7,spark_core 14m rep1,benchmark,spark_core,14m,1,COMPLETED,2026-05-22T20:20:14.655000+00:00,2026-05-22T20:20:22.949000+00:00,2026-05-22T20:25:57.033000+00:00,334.084,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/14m/spark_core/rep1/spark_core/runtime_metrics.json
m4-emr-p2-weak-cells,j-3E07NRUGZF10S,s-0049036EMQK494Y50ND,spark_core 14m rep2,benchmark,spark_core,14m,2,COMPLETED,2026-05-22T20:26:11.231000+00:00,2026-05-22T20:26:27.043000+00:00,2026-05-22T20:31:47.156000+00:00,320.113,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-emr-p2-weak-cells/outputs/14m/spark_core/rep2/spark_core/runtime_metrics.json
