origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,cancelled_no_departure_delay,86,,,cancellation:B,86,,0,,0
ABE,1,low,2190,-5.502283105022831,-14.55473781048758,unknown,2026,delay:nas,156,delay:carrier,8
ABE,1,medium,244,34.59016393442623,32.59322033898305,delay:late_aircraft,96,delay:carrier,64,unknown,56
ABE,1,high,236,240.364406779661,233.15254237288136,delay:late_aircraft,110,delay:carrier,94,delay:nas,16
ABE,2,cancelled_no_departure_delay,24,,,cancellation:B,24,,0,,0
ABE,2,low,2352,-6.691326530612245,-19.607508532423207,unknown,2256,delay:nas,80,delay:carrier,8
ABE,2,medium,158,29.78481012658228,10.413333333333334,unknown,94,delay:carrier,40,delay:late_aircraft,24
ABE,2,high,112,227.92857142857144,217.92857142857144,delay:carrier,48,delay:late_aircraft,48,delay:nas,8
ABE,3,cancelled_no_departure_delay,16,,,cancellation:B,8,cancellation:C,8,,0
ABE,3,low,2666,-6.210802700675169,-18.37584396099025,unknown,2610,delay:nas,56,,0
