origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,cancelled_no_departure_delay,8,,,cancellation:B,8,,0,,0
ABE,1,low,216,-5.462962962962963,-16.13888888888889,unknown,206,delay:nas,8,delay:carrier,2
ABE,1,medium,20,32.8,27.5,delay:late_aircraft,8,delay:carrier,4,delay:nas,4
ABE,1,high,30,208.53333333333333,199.66666666666663,delay:late_aircraft,16,delay:carrier,10,delay:nas,4
ABE,2,cancelled_no_departure_delay,2,,,cancellation:B,2,,0,,0
ABE,2,low,266,-7.045112781954887,-20.143939393939394,unknown,260,delay:nas,6,,0
ABE,2,medium,18,38.0,19.375,unknown,8,delay:late_aircraft,6,delay:carrier,4
ABE,2,high,12,338.3333333333333,334.6666666666667,delay:late_aircraft,6,delay:carrier,2,delay:nas,2
ABE,3,cancelled_no_departure_delay,2,,,cancellation:B,2,,0,,0
ABE,3,low,278,-6.201438848920863,-17.0431654676259,unknown,274,delay:nas,4,,0
