origin_airport,airline,flight_count,avg_departure_delay,avg_arrival_delay,cancellation_rate,airport_avg_departure_delay,difference_from_airport_avg_departure_delay,rank_at_airport
ABE,G4,1839,8.431177446102819,0.6431350750416899,0.0163132137030995,12.159634317862166,-3.728456871759347,1
ABE,9E,1017,9.417746759720837,0.6693306693306693,0.0137659783677482,12.159634317862166,-2.741887558141329,2
ABE,OH,1166,15.546481320590791,4.445993031358885,0.0128644939965694,12.159634317862166,3.3868470027286257,3
ABE,OO,315,30.63036303630363,22.307692307692307,0.0380952380952381,12.159634317862166,18.470728718441464,4
ABI,MQ,1757,7.309810671256455,4.409534750143596,0.0085372794536141,7.309810671256455,0.0,1
ABQ,DL,1547,1.746249184605349,-5.602614379084967,0.0090497737556561,9.467389030665608,-7.721139846060259,1
ABQ,OO,3987,2.102796674225245,-2.051236749116608,0.0045146726862302,9.467389030665608,-7.364592356440362,2
ABQ,MQ,907,5.2841287458379576,3.258351893095768,0.0066152149944873,9.467389030665608,-4.18326028482765,3
ABQ,UA,1822,5.48808864265928,-0.3209121245828698,0.0104281009879253,9.467389030665608,-3.979300388006328,4
ABQ,AS,423,8.402380952380952,4.526315789473684,0.0094562647754137,9.467389030665608,-1.0650080782846558,5
