origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,cancelled_no_departure_delay,3,,,cancellation:B,3,,0,,0
ABE,1,low,35,-6.285714285714286,-19.62857142857143,unknown,34,delay:nas,1,,0
ABE,1,medium,4,32.75,31.25,delay:late_aircraft,2,delay:carrier,1,delay:nas,1
ABE,1,high,8,231.5,221.375,delay:carrier,3,delay:late_aircraft,3,delay:nas,2
ABE,2,low,40,-8.5,-23.575,unknown,39,delay:nas,1,,0
ABE,2,medium,4,45.5,29.33333333333333,unknown,2,delay:carrier,1,delay:late_aircraft,1
ABE,2,high,3,324.0,335.6666666666667,delay:late_aircraft,1,delay:nas,1,delay:weather,1
ABE,3,cancelled_no_departure_delay,1,,,cancellation:B,1,,0,,0
ABE,3,low,41,-4.7560975609756095,-16.390243902439025,unknown,40,delay:nas,1,,0
ABE,3,medium,3,32.333333333333336,12.666666666666666,unknown,2,delay:carrier,1,,0
