origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,cancelled_no_departure_delay,4,,,cancellation:B,4,,0,,0
ABE,1,low,30,-5.066666666666666,-20.133333333333333,unknown,30,,0,,0
ABE,1,medium,6,33.333333333333336,32.333333333333336,delay:late_aircraft,4,delay:nas,2,,0
ABE,1,high,6,252.66666666666663,240.33333333333331,delay:late_aircraft,4,delay:carrier,2,,0
ABE,2,low,46,-7.434782608695652,-21.43478260869565,unknown,44,delay:nas,2,,0
ABE,2,medium,2,52.0,,unknown,2,,0,,0
ABE,2,high,4,287.5,304.5,delay:late_aircraft,2,delay:weather,2,,0
ABE,3,low,38,-6.2105263157894735,-16.157894736842106,unknown,36,delay:nas,2,,0
ABE,3,medium,4,28.0,10.0,unknown,4,,0,,0
ABE,3,high,10,113.8,107.0,delay:carrier,4,delay:late_aircraft,4,delay:nas,2
