origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,high,118,240.364406779661,233.15254237288136,delay:late_aircraft,55,delay:carrier,47,delay:nas,8
ABE,1,low,1095,-5.502283105022831,-14.55473781048758,unknown,1013,delay:nas,78,delay:carrier,4
ABE,1,medium,122,34.59016393442623,32.59322033898305,delay:late_aircraft,48,delay:carrier,32,unknown,28
ABE,2,high,56,227.92857142857144,217.92857142857144,delay:carrier,24,delay:late_aircraft,24,delay:nas,4
ABE,2,low,1176,-6.691326530612245,-19.607508532423207,unknown,1128,delay:nas,40,delay:carrier,4
ABE,2,medium,79,29.78481012658228,10.413333333333334,unknown,47,delay:carrier,20,delay:late_aircraft,12
ABE,3,high,92,173.43478260869566,163.3913043478261,delay:carrier,36,delay:late_aircraft,32,delay:nas,24
ABE,3,low,1333,-6.210802700675169,-18.37584396099025,unknown,1305,delay:nas,28,,0
ABE,3,medium,110,30.28181818181818,19.145454545454545,unknown,52,delay:late_aircraft,28,delay:carrier,15
ABE,4,high,112,254.09821428571428,246.11607142857144,delay:carrier,60,delay:late_aircraft,28,delay:nas,16
