origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,high,1,505.0,499.0,delay:carrier,1,,0,,0
ABE,1,low,1,-7.0,-30.0,unknown,1,,0,,0
ABE,1,medium,1,44.0,20.0,delay:late_aircraft,1,,0,,0
ABE,2,high,1,246.0,270.0,delay:late_aircraft,1,,0,,0
ABE,2,low,5,-7.0,-24.0,unknown,5,,0,,0
ABE,3,high,1,139.0,158.0,delay:nas,1,,0,,0
ABE,3,low,6,-6.666666666666667,-16.333333333333332,unknown,5,delay:nas,1,,0
ABE,4,low,4,-0.25,-3.25,unknown,3,delay:nas,1,,0
ABE,5,low,1,3.0,26.0,delay:nas,1,,0,,0
ABE,5,medium,1,32.0,15.0,delay:late_aircraft,1,,0,,0
