origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,high,15,208.53333333333333,199.66666666666663,delay:late_aircraft,8,delay:carrier,5,delay:nas,2
ABE,1,low,108,-5.462962962962963,-16.13888888888889,unknown,103,delay:nas,4,delay:carrier,1
ABE,1,medium,10,32.8,27.5,delay:late_aircraft,4,delay:carrier,2,delay:nas,2
ABE,2,high,6,338.3333333333333,334.6666666666667,delay:late_aircraft,3,delay:carrier,1,delay:nas,1
ABE,2,low,133,-7.045112781954887,-20.143939393939394,unknown,130,delay:nas,3,,0
ABE,2,medium,9,38.0,19.375,unknown,4,delay:late_aircraft,3,delay:carrier,2
ABE,3,high,10,127.0,124.0,delay:nas,4,delay:carrier,3,delay:late_aircraft,3
ABE,3,low,139,-6.201438848920863,-17.0431654676259,unknown,137,delay:nas,2,,0
ABE,3,medium,13,28.46153846153846,17.846153846153847,unknown,7,delay:late_aircraft,3,delay:carrier,2
ABE,4,high,12,176.25,168.58333333333334,delay:carrier,6,delay:late_aircraft,4,delay:nas,1
