origin_airport,airline,flight_count,avg_departure_delay,avg_arrival_delay,cancellation_rate,airport_avg_departure_delay,difference_from_airport_avg_departure_delay,rank_at_airport
ABE,OO,2,-1.5,-7.5,0.0,27.47457627118644,-28.97457627118644,1
ABE,9E,19,0.4736842105263157,-10.68421052631579,0.0,27.47457627118644,-27.000892060660124,2
ABE,G4,29,38.57142857142857,34.888888888888886,0.0344827586206896,27.47457627118644,11.09685230024213,3
ABE,OH,10,53.5,40.8,0.0,27.47457627118644,26.02542372881356,4
ABI,MQ,22,13.954545454545457,14.045454545454543,0.0,13.954545454545457,0.0,1
ABQ,AS,10,-2.4,-7.6,0.0,14.939577039274925,-17.339577039274925,1
ABQ,DL,26,1.12,-3.72,0.0384615384615384,14.939577039274925,-13.819577039274924,2
ABQ,NK,11,2.4545454545454546,-1.5454545454545454,0.0,14.939577039274925,-12.48503158472947,3
ABQ,OO,42,2.8095238095238093,-2.8095238095238093,0.0,14.939577039274925,-12.130053229751116,4
ABQ,UA,24,3.458333333333333,-4.875,0.0,14.939577039274925,-11.48124370594159,5
