origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_delay_or_cancellation_cause
ABE,1,high,8,231.5,221.375,delay:carrier
ABE,1,low,35,-6.285714285714286,-19.62857142857143,unknown
ABE,1,medium,4,32.75,31.25,delay:late_aircraft
ABE,2,high,3,324.0,335.6666666666667,delay:late_aircraft
ABE,2,low,40,-8.5,-23.575,unknown
ABE,2,medium,4,45.5,29.33333333333333,unknown
ABE,3,high,8,127.0,121.625,delay:carrier
ABE,3,low,41,-4.7560975609756095,-16.390243902439025,unknown
ABE,3,medium,3,32.333333333333336,12.666666666666666,unknown
ABE,4,high,6,158.33333333333334,150.33333333333334,delay:carrier
