environment,input_label,records,input_kind,job_name,technology,median_duration_seconds,rows_per_second
aws-emr,100k,100000,,airline_airport_ranking,Spark Core,1.213325,82418.14847629447
aws-emr,100k,100000,,airline_airport_ranking,Spark SQL,3.983919,25100.911941231734
aws-emr,100k,100000,,delay_by_airport_month,Spark Core,1.86432,53638.86028149674
aws-emr,100k,100000,,delay_by_airport_month,Spark SQL,15.831696,6316.44266034416
aws-emr,500k,500000,,airline_airport_ranking,Spark Core,1.1868539999999999,421281.80888297973
aws-emr,500k,500000,,airline_airport_ranking,Spark SQL,3.89817,128265.31423719335
aws-emr,500k,500000,,delay_by_airport_month,Spark Core,1.9300375,259062.3239185767
aws-emr,500k,500000,,delay_by_airport_month,Spark SQL,14.053918,35577.26749223953
aws-emr,1m,1000000,,airline_airport_ranking,Spark Core,1.243081,804452.8071782932
aws-emr,1m,1000000,,airline_airport_ranking,Spark SQL,4.051517,246821.12897465323
aws-emr,1m,1000000,,delay_by_airport_month,Spark Core,1.923128,519986.1891668157
aws-emr,1m,1000000,,delay_by_airport_month,Spark SQL,15.125728,66112.52033621125
aws-emr,3m,3000000,,airline_airport_ranking,Spark Core,1.436512,2088391.8825599786
aws-emr,3m,3000000,,airline_airport_ranking,Spark SQL,4.0800745,735280.6915658035
aws-emr,3m,3000000,,delay_by_airport_month,Spark Core,2.47262,1213287.9294028196
aws-emr,3m,3000000,,delay_by_airport_month,Spark SQL,14.704058499999999,204025.30362620635
aws-emr,full,7079081,,airline_airport_ranking,Spark Core,1.106489,6397787.054367463
aws-emr,full,7079081,,airline_airport_ranking,Spark SQL,4.301809,1645605.6045259098
aws-emr,full,7079081,,delay_by_airport_month,Spark Core,1.91819,3690500.419666456
aws-emr,full,7079081,,delay_by_airport_month,Spark SQL,15.505447,456554.4611516198
aws-emr,14m,14000000,,airline_airport_ranking,Spark Core,1.2504395000000001,11196063.464086026
aws-emr,14m,14000000,,airline_airport_ranking,Spark SQL,5.359177,2612341.409884391
aws-emr,14m,14000000,,delay_by_airport_month,Spark Core,2.265478,6179711.3015443105
aws-emr,14m,14000000,,delay_by_airport_month,Spark SQL,17.0196005,822581.0000651896
aws-emr-larger,100k,100000,deterministic_subset,airline_airport_ranking,Spark Core,0.923444,108290.2699026687
aws-emr-larger,100k,100000,deterministic_subset,airline_airport_ranking,Spark SQL,1.914456,52234.159468799495
aws-emr-larger,100k,100000,deterministic_subset,delay_by_airport_month,Spark Core,2.086262,47932.61824257931
aws-emr-larger,100k,100000,deterministic_subset,delay_by_airport_month,Spark SQL,10.837344,9227.353122683935
aws-emr-larger,100k,100000,deterministic_subset,delay_by_airport_month_all_causes,Spark Core,1.073761,93130.59423838266
aws-emr-larger,100k,100000,deterministic_subset,delay_by_airport_month_all_causes,Spark SQL,3.910991,25568.96704697096
aws-emr-larger,500k,500000,deterministic_subset,airline_airport_ranking,Spark Core,0.852097,586787.6544571803
aws-emr-larger,500k,500000,deterministic_subset,airline_airport_ranking,Spark SQL,1.964562,254509.65660539092
aws-emr-larger,500k,500000,deterministic_subset,delay_by_airport_month,Spark Core,1.9598,255128.07429329524
aws-emr-larger,500k,500000,deterministic_subset,delay_by_airport_month,Spark SQL,10.890156,45913.02457007962
aws-emr-larger,500k,500000,deterministic_subset,delay_by_airport_month_all_causes,Spark Core,1.104283,452782.48420015525
aws-emr-larger,500k,500000,deterministic_subset,delay_by_airport_month_all_causes,Spark SQL,5.602186,89250.87456931992
aws-emr-larger,1m,1000000,deterministic_subset,airline_airport_ranking,Spark Core,0.843293,1185827.4644755737
aws-emr-larger,1m,1000000,deterministic_subset,airline_airport_ranking,Spark SQL,2.262195,442048.5413503256
aws-emr-larger,1m,1000000,deterministic_subset,delay_by_airport_month,Spark Core,1.778298,562335.4465899416
aws-emr-larger,1m,1000000,deterministic_subset,delay_by_airport_month,Spark SQL,11.725626,85283.29319048722
aws-emr-larger,1m,1000000,deterministic_subset,delay_by_airport_month_all_causes,Spark Core,1.144206,873968.4986794336
aws-emr-larger,1m,1000000,deterministic_subset,delay_by_airport_month_all_causes,Spark SQL,6.027653,165902.05176044474
aws-emr-larger,3m,3000000,deterministic_subset,airline_airport_ranking,Spark Core,0.882457,3399599.073949212
aws-emr-larger,3m,3000000,deterministic_subset,airline_airport_ranking,Spark SQL,2.541116,1180583.6490738713
aws-emr-larger,3m,3000000,deterministic_subset,delay_by_airport_month,Spark Core,2.097918,1429989.160682162
aws-emr-larger,3m,3000000,deterministic_subset,delay_by_airport_month,Spark SQL,13.489457,222395.90518728812
aws-emr-larger,3m,3000000,deterministic_subset,delay_by_airport_month_all_causes,Spark Core,1.34742,2226477.267667097
aws-emr-larger,3m,3000000,deterministic_subset,delay_by_airport_month_all_causes,Spark SQL,6.728011,445897.01176172274
aws-emr-larger,full,7079081,original_prepared,airline_airport_ranking,Spark Core,0.828245,8547085.705316663
aws-emr-larger,full,7079081,original_prepared,airline_airport_ranking,Spark SQL,2.507246,2823448.915662843
aws-emr-larger,full,7079081,original_prepared,delay_by_airport_month,Spark Core,1.866096,3793524.5560785728
aws-emr-larger,full,7079081,original_prepared,delay_by_airport_month,Spark SQL,13.449692,526337.7778465112
