environment,input_label,records,job_name,technology,median_duration_vs_100k,records_vs_100k,throughput_vs_100k
aws-emr,100k,100000,airline_airport_ranking,Spark Core,1.0,1.0,1.0
aws-emr,500k,500000,airline_airport_ranking,Spark Core,0.9931444584097417,5.0,5.034514322323439
aws-emr,1m,1000000,airline_airport_ranking,Spark Core,1.0245243442606062,10.0,9.760627022696028
aws-emr,3m,3000000,airline_airport_ranking,Spark Core,1.029103496589949,30.0,29.151586890345232
aws-emr,full,7079081,airline_airport_ranking,Spark Core,0.911947746893866,70.79081,77.62594977740403
aws-emr,14m,14000000,airline_airport_ranking,Spark Core,1.0178492984155112,140.0,137.54491968303992
aws-emr,100k,100000,airline_airport_ranking,Spark SQL,1.0,1.0,1.0
aws-emr,500k,500000,airline_airport_ranking,Spark SQL,1.0488842770146682,5.0,4.76697011249991
aws-emr,1m,1000000,airline_airport_ranking,Spark SQL,1.0169677144540337,10.0,9.833153853235716
aws-emr,3m,3000000,airline_airport_ranking,Spark SQL,1.1186798727584573,30.0,26.8173234636157
aws-emr,full,7079081,airline_airport_ranking,Spark SQL,1.0797932889699817,70.79081,65.55959434377259
aws-emr,14m,14000000,airline_airport_ranking,Spark SQL,1.5201260366990392,140.0,92.09762652576536
aws-emr,100k,100000,delay_by_airport_month,Spark Core,1.0,1.0,1.0
aws-emr,500k,500000,delay_by_airport_month,Spark Core,0.9151738971850326,5.0,5.463442538493955
aws-emr,1m,1000000,delay_by_airport_month,Spark Core,1.0315439409543425,10.0,9.69420652187478
aws-emr,3m,3000000,delay_by_airport_month,Spark Core,1.0835183874013046,30.0,27.68757812403312
aws-emr,full,7079081,delay_by_airport_month,Spark Core,1.0288952540336422,70.79081,68.80273742392568
aws-emr,14m,14000000,delay_by_airport_month,Spark Core,1.1055779050806729,140.0,126.63060590902849
aws-emr,100k,100000,delay_by_airport_month,Spark SQL,1.0,1.0,1.0
aws-emr,500k,500000,delay_by_airport_month,Spark SQL,0.8766808685563442,5.0,5.703329660009172
aws-emr,1m,1000000,delay_by_airport_month,Spark SQL,0.9554079360796215,10.0,10.466733237567144
aws-emr,3m,3000000,delay_by_airport_month,Spark SQL,0.9210856499518434,30.0,32.570260975804445
aws-emr,full,7079081,delay_by_airport_month,Spark SQL,0.9793926689850537,70.79081,72.28031436396255
aws-emr,14m,14000000,delay_by_airport_month,Spark SQL,1.1462476919718518,140.0,122.13765051004174
docker-simulation,100k,100000,airline_airport_ranking,Hive,1.0,1.0,1.0
docker-simulation,500k,500000,airline_airport_ranking,Hive,0.9987474453819063,5.0,5.006270627393769
docker-simulation,1m,1000000,airline_airport_ranking,Hive,0.9907938571390882,10.0,10.092916834259494
docker-simulation,100k,100000,airline_airport_ranking,Spark Core,1.0,1.0,1.0
docker-simulation,500k,500000,airline_airport_ranking,Spark Core,1.0468958256186478,5.0,4.77602439291925
docker-simulation,1m,1000000,airline_airport_ranking,Spark Core,1.0039348659053267,10.0,9.960805565789586
docker-simulation,100k,100000,airline_airport_ranking,Spark SQL,1.0,1.0,1.0
docker-simulation,500k,500000,airline_airport_ranking,Spark SQL,1.4008885306323096,5.0,3.5691633493088735
docker-simulation,1m,1000000,airline_airport_ranking,Spark SQL,1.1082572793244916,10.0,9.023175562713408
docker-simulation,100k,100000,delay_by_airport_month,Hive,1.0,1.0,1.0
docker-simulation,500k,500000,delay_by_airport_month,Hive,1.0493883122590764,5.0,4.764680472985471
docker-simulation,1m,1000000,delay_by_airport_month,Hive,1.0464953367203491,10.0,9.555704310483957
docker-simulation,100k,100000,delay_by_airport_month,Spark Core,1.0,1.0,1.0
docker-simulation,500k,500000,delay_by_airport_month,Spark Core,1.031470878935679,5.0,4.847446595059706
docker-simulation,1m,1000000,delay_by_airport_month,Spark Core,1.0301568391620823,10.0,9.707259729629017
docker-simulation,100k,100000,delay_by_airport_month,Spark SQL,1.0,1.0,1.0
docker-simulation,500k,500000,delay_by_airport_month,Spark SQL,1.0631257370543739,5.0,4.703112553604066
docker-simulation,1m,1000000,delay_by_airport_month,Spark SQL,1.163577377976613,10.0,8.59418564615734
