environment_family,input_label,records,job_name,baseline_median_duration_seconds,optimized_median_duration_seconds,optimized_speedup,baseline_runs,optimized_runs,baseline_run_id,optimized_run_id
local,1m,1000000,airline_airport_ranking,1.168272,0.910009,1.2838026876657265,3,3,20260523T222417711003Z,20260523T223936581097Z
local,1m,1000000,delay_by_airport_month,5.748548,4.683717,1.227347425132646,3,3,20260523T222417711003Z,20260523T223936581097Z
local,1m,1000000,delay_by_airport_month_all_causes,2.312909,2.174958,1.063426971923136,3,3,20260523T222417711003Z,20260523T223936581097Z
local,full,7079081,airline_airport_ranking,1.453538,1.476837,0.9842237159551122,3,3,20260523T222417711003Z,20260523T223936581097Z
local,full,7079081,delay_by_airport_month,7.842285,6.812261,1.1512014880228458,3,3,20260523T222417711003Z,20260523T223936581097Z
local,full,7079081,delay_by_airport_month_all_causes,5.052968,5.328338,0.9483197199577055,3,3,20260523T222417711003Z,20260523T223936581097Z
local,14m,14000000,airline_airport_ranking,1.984163,1.670504,1.1877630942517947,3,3,20260523T222417711003Z,20260523T223936581097Z
local,14m,14000000,delay_by_airport_month,9.137848,8.258864,1.106429165076456,3,3,20260523T222417711003Z,20260523T223936581097Z
local,14m,14000000,delay_by_airport_month_all_causes,4.906144,4.903645,1.0005096209044497,3,3,20260523T222417711003Z,20260523T223936581097Z
docker-simulation,1m,1000000,airline_airport_ranking,3.590738,1.047858,3.4267410278873665,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,1m,1000000,delay_by_airport_month,9.586714,5.774278,1.6602446227909362,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,1m,1000000,delay_by_airport_month_all_causes,5.432835,3.304373,1.644134908498526,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,full,7079081,airline_airport_ranking,4.120087,1.673856,2.461434555899671,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,full,7079081,delay_by_airport_month,11.705322,8.211753,1.425435226802365,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,full,7079081,delay_by_airport_month_all_causes,8.340026,5.911999,1.4106947582365965,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,14m,14000000,airline_airport_ranking,6.127215,1.981981,3.0914600089506408,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,14m,14000000,delay_by_airport_month,18.71398,9.468684,1.9764077035414847,3,3,20260523T222744444536Z,20260523T224239080920Z
docker-simulation,14m,14000000,delay_by_airport_month_all_causes,13.169358,6.899514,1.9087370501748386,3,3,20260523T222744444536Z,20260523T224239080920Z
