environment,input_label,records,job_name,spark_sql_div_spark_core,hive_div_spark_sql,hive_div_spark_core
aws-emr,100k,100000,airline_airport_ranking,3.2834722765953064,,
aws-emr,100k,100000,delay_by_airport_month,8.491941297631309,,
aws-emr,500k,500000,airline_airport_ranking,3.2844562178667305,,
aws-emr,500k,500000,delay_by_airport_month,7.281681314482231,,
aws-emr,1m,1000000,airline_airport_ranking,3.2592542239805766,,
aws-emr,1m,1000000,delay_by_airport_month,7.865169661093802,,
aws-emr,3m,3000000,airline_airport_ranking,2.8402648220133213,,
aws-emr,3m,3000000,delay_by_airport_month,5.946752230427643,,
aws-emr,full,7079081,airline_airport_ranking,3.887800963226928,,
aws-emr,full,7079081,delay_by_airport_month,8.083373909779532,,
aws-emr,14m,14000000,airline_airport_ranking,4.285834700519297,,
aws-emr,14m,14000000,delay_by_airport_month,7.51258696840137,,
aws-emr-larger,100k,100000,airline_airport_ranking,2.073169569567835,,
aws-emr-larger,100k,100000,delay_by_airport_month,5.194622727155075,,
aws-emr-larger,100k,100000,delay_by_airport_month_all_causes,3.6423291589096647,,
aws-emr-larger,500k,500000,airline_airport_ranking,2.3055614560314144,,
aws-emr-larger,500k,500000,delay_by_airport_month,5.556769058067149,,
aws-emr-larger,500k,500000,delay_by_airport_month_all_causes,5.073143388062662,,
aws-emr-larger,1m,1000000,airline_airport_ranking,2.682572960999321,,
aws-emr-larger,1m,1000000,delay_by_airport_month,6.593735133256631,,
aws-emr-larger,1m,1000000,delay_by_airport_month_all_causes,5.267978842970583,,
aws-emr-larger,3m,3000000,airline_airport_ranking,2.8795918667991756,,
aws-emr-larger,3m,3000000,delay_by_airport_month,6.429925764496039,,
aws-emr-larger,3m,3000000,delay_by_airport_month_all_causes,4.993254516038058,,
aws-emr-larger,full,7079081,airline_airport_ranking,3.0271791559260843,,
aws-emr-larger,full,7079081,delay_by_airport_month,7.207395546638544,,
aws-emr-larger,full,7079081,delay_by_airport_month_all_causes,5.675493559924484,,
aws-emr-larger,14m,14000000,airline_airport_ranking,3.675784860995573,,
aws-emr-larger,14m,14000000,delay_by_airport_month,10.078178989092473,,
aws-emr-larger,14m,14000000,delay_by_airport_month_all_causes,8.113345530570005,,
aws-emr-larger,28m,28000000,airline_airport_ranking,5.5927702124418035,,
aws-emr-larger,28m,28000000,delay_by_airport_month,11.907397460124693,,
aws-emr-larger,28m,28000000,delay_by_airport_month_all_causes,13.85755139897975,,
docker-simulation,100k,100000,airline_airport_ranking,0.5494517939243633,7.781443092708648,4.275527866609112
docker-simulation,100k,100000,delay_by_airport_month,2.444789663610912,2.013336580559712,4.922184461522123
docker-simulation,100k,100000,delay_by_airport_month_all_causes,1.8516086157695164,2.539375965190498,4.701930415824758
docker-simulation,500k,500000,airline_airport_ranking,0.508147590932956,8.463125276503707,4.300516721019166
docker-simulation,500k,500000,delay_by_airport_month,2.216288841797002,2.4819247951469814,5.500662229663565
docker-simulation,500k,500000,delay_by_airport_month_all_causes,1.9033404500942197,2.2458675573326263,4.274650567425486
docker-simulation,1m,1000000,airline_airport_ranking,0.5134398477886672,8.195985155562317,4.208145370750093
docker-simulation,1m,1000000,delay_by_airport_month,2.366167486802516,2.4110351056285397,5.704912876477721
docker-simulation,1m,1000000,delay_by_airport_month_all_causes,1.918211827237564,2.546112606243063,4.883983314774102
docker-simulation,1m_hc8,1000000,airline_airport_ranking,0.5978762129958022,,
docker-simulation,1m_hc8,1000000,delay_by_airport_month,2.073767374605529,,
docker-simulation,1m_hc8,1000000,delay_by_airport_month_all_causes,1.5513780524875875,,
docker-simulation,3m,3000000,airline_airport_ranking,0.6235465304616116,6.940825692663032,4.327927779198846
docker-simulation,3m,3000000,delay_by_airport_month,2.602871849532174,3.1423127134401625,8.17903730424046
docker-simulation,3m,3000000,delay_by_airport_month_all_causes,1.8671332999825858,3.0574646984153526,5.708694151932519
docker-simulation,full,7079081,airline_airport_ranking,0.8641967110995612,7.065051980005096,6.105594684867848
docker-simulation,full,7079081,delay_by_airport_month,2.929476723432904,4.24916369647168,12.447826142869904
docker-simulation,full,7079081,delay_by_airport_month_all_causes,4.271026119026308,3.142939440853099,13.423576442401524
docker-simulation,14m,14000000,airline_airport_ranking,0.9444032309901197,7.266272087355092,6.8622908365514705
docker-simulation,14m,14000000,delay_by_airport_month,3.7322659367232665,5.555504263241063,20.734619323015504
docker-simulation,14m,14000000,delay_by_airport_month_all_causes,5.085692700134438,4.353213039232133,22.13910377575291
docker-simulation,28m,28000000,airline_airport_ranking,1.462402973193171,7.374211651813337,10.784069044567548
docker-simulation,28m,28000000,delay_by_airport_month,4.811868310860796,7.4807341485821635,35.996307591536734
docker-simulation,28m,28000000,delay_by_airport_month_all_causes,7.8285152406438385,4.629338719291729,36.24084871807793
docker-simulation-spark-sql-baseline-m4,1m,1000000,airline_airport_ranking,,,
docker-simulation-spark-sql-baseline-m4,1m,1000000,delay_by_airport_month,,,
docker-simulation-spark-sql-baseline-m4,1m,1000000,delay_by_airport_month_all_causes,,,
docker-simulation-spark-sql-baseline-m4,full,7079081,airline_airport_ranking,,,
docker-simulation-spark-sql-baseline-m4,full,7079081,delay_by_airport_month,,,
docker-simulation-spark-sql-baseline-m4,full,7079081,delay_by_airport_month_all_causes,,,
docker-simulation-spark-sql-baseline-m4,14m,14000000,airline_airport_ranking,,,
docker-simulation-spark-sql-baseline-m4,14m,14000000,delay_by_airport_month,,,
docker-simulation-spark-sql-baseline-m4,14m,14000000,delay_by_airport_month_all_causes,,,
docker-simulation-spark-sql-optimized-m4,1m,1000000,airline_airport_ranking,,,
docker-simulation-spark-sql-optimized-m4,1m,1000000,delay_by_airport_month,,,
docker-simulation-spark-sql-optimized-m4,1m,1000000,delay_by_airport_month_all_causes,,,
docker-simulation-spark-sql-optimized-m4,full,7079081,airline_airport_ranking,,,
docker-simulation-spark-sql-optimized-m4,full,7079081,delay_by_airport_month,,,
docker-simulation-spark-sql-optimized-m4,full,7079081,delay_by_airport_month_all_causes,,,
docker-simulation-spark-sql-optimized-m4,14m,14000000,airline_airport_ranking,,,
docker-simulation-spark-sql-optimized-m4,14m,14000000,delay_by_airport_month,,,
docker-simulation-spark-sql-optimized-m4,14m,14000000,delay_by_airport_month_all_causes,,,
local,100k,100000,airline_airport_ranking,1.5000596465229439,10.053404196932107,15.080705946002256
local,100k,100000,delay_by_airport_month,5.083229934705969,2.617013583998558,13.302881789713624
local,100k,100000,delay_by_airport_month_all_causes,3.0459961844839643,4.816887915341245,14.672222211216349
local,500k,500000,airline_airport_ranking,1.7579485660411012,7.986308666949921,14.039519869026233
local,500k,500000,delay_by_airport_month,5.832896386756658,2.421438059707343,14.12399730922201
local,500k,500000,delay_by_airport_month_all_causes,3.5471453128039068,4.050180528777161,14.366578878661555
local,1m,1000000,airline_airport_ranking,1.7136869926984157,8.312746651765698,14.245445810728185
local,1m,1000000,delay_by_airport_month,6.470911435498014,2.519039061770137,16.300478671274565
